user_id,first_name,last_name,age,city,reg_date,plan,churn_date,month_year,duration,mb_used,message_count,messages_included,mb_per_month_included,minutes_included,usd_monthly_pay,usd_per_gb,usd_per_message,usd_per_minute,plan_name
1000,Anamaria,Bauer,45,"Atlanta-Sandy Springs-Roswell, GA MSA",2018-12-24,ultimate,0,2018-02,0.0,0.0,0.0,1000,30720,3000,70,7,0.01,0.01,ultimate
1000,Anamaria,Bauer,45,"Atlanta-Sandy Springs-Roswell, GA MSA",2018-12-24,ultimate,0,2018-03,0.0,0.0,0.0,1000,30720,3000,70,7,0.01,0.01,ultimate
1000,Anamaria,Bauer,45,"Atlanta-Sandy Springs-Roswell, GA MSA",2018-12-24,ultimate,0,2018-04,0.0,0.0,0.0,1000,30720,3000,70,7,0.01,0.01,ultimate
1000,Anamaria,Bauer,45,"Atlanta-Sandy Springs-Roswell, GA MSA",2018-12-24,ultimate,0,2018-05,0.0,0.0,0.0,1000,30720,3000,70,7,0.01,0.01,ultimate
1000,Anamaria,Bauer,45,"Atlanta-Sandy Springs-Roswell, GA MSA",2018-12-24,ultimate,0,2018-06,0.0,0.0,0.0,1000,30720,3000,70,7,0.01,0.01,ultimate
1000,Anamaria,Bauer,45,"Atlanta-Sandy Springs-Roswell, GA MSA",2018-12-24,ultimate,0,2018-07,0.0,0.0,0.0,1000,30720,3000,70,7,0.01,0.01,ultimate
1000,Anamaria,Bauer,45,"Atlanta-Sandy Springs-Roswell, GA MSA",2018-12-24,ultimate,0,2018-08,0.0,0.0,0.0,1000,30720,3000,70,7,0.01,0.01,ultimate
1000,Anamaria,Bauer,45,"Atlanta-Sandy Springs-Roswell, GA MSA",2018-12-24,ultimate,0,2018-09,0.0,0.0,0.0,1000,30720,3000,70,7,0.01,0.01,ultimate
1000,Anamaria,Bauer,45,"Atlanta-Sandy Springs-Roswell, GA MSA",2018-12-24,ultimate,0,2018-10,0.0,0.0,0.0,1000,30720,3000,70,7,0.01,0.01,ultimate
1000,Anamaria,Bauer,45,"Atlanta-Sandy Springs-Roswell, GA MSA",2018-12-24,ultimate,0,2018-11,0.0,0.0,0.0,1000,30720,3000,70,7,0.01,0.01,ultimate
1000,Anamaria,Bauer,45,"Atlanta-Sandy Springs-Roswell, GA MSA",2018-12-24,ultimate,0,2018-12,116.83,1901.47,11.0,1000,30720,3000,70,7,0.01,0.01,ultimate
1001,Mickey,Wilkerson,28,"Seattle-Tacoma-Bellevue, WA MSA",2018-08-13,surf,0,2018-02,0.0,0.0,0.0,50,15360,500,20,10,0.03,0.03,surf
1001,Mickey,Wilkerson,28,"Seattle-Tacoma-Bellevue, WA MSA",2018-08-13,surf,0,2018-03,0.0,0.0,0.0,50,15360,500,20,10,0.03,0.03,surf
1001,Mickey,Wilkerson,28,"Seattle-Tacoma-Bellevue, WA MSA",2018-08-13,surf,0,2018-04,0.0,0.0,0.0,50,15360,500,20,10,0.03,0.03,surf
1001,Mickey,Wilkerson,28,"Seattle-Tacoma-Bellevue, WA MSA",2018-08-13,surf,0,2018-05,0.0,0.0,0.0,50,15360,500,20,10,0.03,0.03,surf
1001,Mickey,Wilkerson,28,"Seattle-Tacoma-Bellevue, WA MSA",2018-08-13,surf,0,2018-06,0.0,0.0,0.0,50,15360,500,20,10,0.03,0.03,surf
1001,Mickey,Wilkerson,28,"Seattle-Tacoma-Bellevue, WA MSA",2018-08-13,surf,0,2018-07,0.0,0.0,0.0,50,15360,500,20,10,0.03,0.03,surf
